geoid,name,B29001001,"B29001001, Error",B29001002,"B29001002, Error",B29001003,"B29001003, Error",B29001004,"B29001004, Error",B29001005,"B29001005, Error"
14000US36005000100,"Census Tract 1, Bronx, NY",5714,719,1902,311,2470,424,1252,242,90,62
14000US36005000200,"Census Tract 2, Bronx, NY",2953,433,596,255,934,251,697,212,726,192
14000US36005000400,"Census Tract 4, Bronx, NY",4621,673,1088,286,1185,319,1502,288,846,296
14000US36005001600,"Census Tract 16, Bronx, NY",4398,550,1086,292,769,166,1411,201,1132,344
14000US36005001901,"Census Tract 19.01, Bronx, NY",1433,209,385,114,618,164,397,96,33,34
14000US36005001902,"Census Tract 19.02, Bronx, NY",850,278,231,109,356,120,222,119,41,32
14000US36005001903,"Census Tract 19.03, Bronx, NY",0,13,0,13,0,13,0,13,0,13
14000US36005001904,"Census Tract 19.04, Bronx, NY",0,13,0,13,0,13,0,13,0,13
14000US36005002001,"Census Tract 20.01, Bronx, NY",2861,567,1002,358,603,239,807,187,449,157
14000US36005002002,"Census Tract 20.02, Bronx, NY",2832,738,482,263,746,536,923,295,681,383
14000US36005002300,"Census Tract 23, Bronx, NY",2526,355,580,234,546,190,856,162,544,149
14000US36005002400,"Census Tract 24, Bronx, NY",0,13,0,13,0,13,0,13,0,13
14000US36005002500,"Census Tract 25, Bronx, NY",2905,417,965,352,691,166,873,165,376,109
14000US36005002701,"Census Tract 27.01, Bronx, NY",1536,254,486,165,211,91,412,151,427,111
14000US36005002702,"Census Tract 27.02, Bronx, NY",2525,528,820,334,663,218,717,198,325,159
14000US36005002800,"Census Tract 28, Bronx, NY",4567,541,1072,334,853,278,1712,374,930,162
14000US36005003100,"Census Tract 31, Bronx, NY",1418,321,315,105,616,287,361,98,126,52
14000US36005003300,"Census Tract 33, Bronx, NY",1945,494,459,264,473,211,719,149,294,157
14000US36005003500,"Census Tract 35, Bronx, NY",2130,351,613,174,723,312,526,130,268,79
14000US36005003700,"Census Tract 37, Bronx, NY",215,64,34,35,64,42,89,60,28,28
14000US36005003800,"Census Tract 38, Bronx, NY",827,100,198,58,205,53,183,61,241,68
14000US36005003900,"Census Tract 39, Bronx, NY",3161,598,853,327,909,307,690,209,709,337
14000US36005004001,"Census Tract 40.01, Bronx, NY",1012,198,163,107,291,92,319,82,239,74
14000US36005004100,"Census Tract 41, Bronx, NY",3731,950,905,379,1274,616,942,366,610,298
14000US36005004200,"Census Tract 42, Bronx, NY",4813,676,1127,320,987,407,1862,474,837,229
14000US36005004300,"Census Tract 43, Bronx, NY",3644,471,906,269,956,260,1279,287,503,143
14000US36005004400,"Census Tract 44, Bronx, NY",2845,390,805,188,686,191,788,168,566,169
14000US36005004600,"Census Tract 46, Bronx, NY",1149,204,217,97,419,117,243,101,270,88
14000US36005004800,"Census Tract 48, Bronx, NY",2225,321,851,257,497,198,620,171,257,84
14000US36005005001,"Census Tract 50.01, Bronx, NY",1791,333,534,181,360,144,649,155,248,119
14000US36005005002,"Census Tract 50.02, Bronx, NY",2253,564,669,202,571,200,607,285,406,131
14000US36005005100,"Census Tract 51, Bronx, NY",3627,637,979,348,972,411,970,215,706,309
14000US36005005200,"Census Tract 52, Bronx, NY",1096,191,208,81,234,88,436,133,218,84
14000US36005005300,"Census Tract 53, Bronx, NY",2095,293,693,200,510,162,624,145,268,133
14000US36005005400,"Census Tract 54, Bronx, NY",2680,416,839,229,550,234,749,177,542,124
14000US36005005600,"Census Tract 56, Bronx, NY",1219,233,222,106,203,81,458,144,336,82
14000US36005005902,"Census Tract 59.02, Bronx, NY",1577,331,458,247,435,190,360,118,324,112
14000US36005006000,"Census Tract 60, Bronx, NY",815,352,196,129,149,70,255,119,215,140
14000US36005006100,"Census Tract 61, Bronx, NY",3523,603,687,285,783,165,1237,374,816,211
14000US36005006200,"Census Tract 62, Bronx, NY",3932,819,1544,517,487,199,1087,392,814,369
14000US36005006301,"Census Tract 63.01, Bronx, NY",3431,648,720,293,1406,607,946,234,359,141
14000US36005006302,"Census Tract 63.02, Bronx, NY",0,13,0,13,0,13,0,13,0,13
14000US36005006400,"Census Tract 64, Bronx, NY",2088,376,382,188,438,193,768,247,500,155
14000US36005006500,"Census Tract 65, Bronx, NY",2988,603,1003,318,928,387,775,237,282,96
14000US36005006700,"Census Tract 67, Bronx, NY",3722,617,1229,553,675,298,1088,332,730,227
14000US36005006800,"Census Tract 68, Bronx, NY",1572,355,410,163,416,182,333,146,413,241
14000US36005006900,"Census Tract 69, Bronx, NY",5025,751,1672,450,1066,445,1476,417,811,262
14000US36005007000,"Census Tract 70, Bronx, NY",2431,464,686,292,688,194,600,202,457,118
14000US36005007100,"Census Tract 71, Bronx, NY",1868,279,372,135,751,180,542,154,203,96
14000US36005007200,"Census Tract 72, Bronx, NY",3425,521,772,248,819,301,1190,216,644,170
14000US36005007300,"Census Tract 73, Bronx, NY",2405,371,807,244,528,199,818,267,252,116
14000US36005007400,"Census Tract 74, Bronx, NY",2371,350,454,192,382,198,766,182,769,188
14000US36005007500,"Census Tract 75, Bronx, NY",4353,666,1039,298,1495,364,1190,267,629,156
14000US36005007600,"Census Tract 76, Bronx, NY",2851,540,520,187,769,234,940,369,622,179
14000US36005007700,"Census Tract 77, Bronx, NY",1329,420,529,284,317,123,345,103,138,34
14000US36005007800,"Census Tract 78, Bronx, NY",3799,520,1163,316,763,262,1261,359,612,192
14000US36005007900,"Census Tract 79, Bronx, NY",3832,443,1157,331,1133,310,1012,267,530,189
14000US36005008300,"Census Tract 83, Bronx, NY",3640,426,950,261,1170,301,1038,248,482,184
14000US36005008400,"Census Tract 84, Bronx, NY",2367,618,560,279,620,167,681,205,506,318
14000US36005008500,"Census Tract 85, Bronx, NY",3473,429,734,154,991,204,1291,326,457,134
14000US36005008600,"Census Tract 86, Bronx, NY",2986,840,854,595,392,200,1102,333,638,199
14000US36005008700,"Census Tract 87, Bronx, NY",3642,494,1188,254,784,224,1114,184,556,181
14000US36005008900,"Census Tract 89, Bronx, NY",2053,326,498,200,528,142,619,197,408,189
14000US36005009000,"Census Tract 90, Bronx, NY",2241,463,448,176,545,190,800,234,448,166
14000US36005009200,"Census Tract 92, Bronx, NY",3716,504,873,275,1142,254,1170,277,531,185
14000US36005009301,"Census Tract 93.01, Bronx, NY",2669,363,785,296,797,264,778,216,309,116
14000US36005009302,"Census Tract 93.02, Bronx, NY",495,159,189,109,188,89,108,85,10,18
14000US36005009600,"Census Tract 96, Bronx, NY",1933,320,353,103,507,142,516,164,557,236
14000US36005009800,"Census Tract 98, Bronx, NY",3516,586,550,242,713,215,1170,292,1083,409
14000US36005011000,"Census Tract 110, Bronx, NY",0,13,0,13,0,13,0,13,0,13
14000US36005011502,"Census Tract 115.02, Bronx, NY",2474,431,519,284,804,279,637,167,514,217
14000US36005011701,"Census Tract 117.01, Bronx, NY",946,230,257,116,323,128,262,65,104,73
14000US36005011702,"Census Tract 117.02, Bronx, NY",0,13,0,13,0,13,0,13,0,13
14000US36005011800,"Census Tract 118, Bronx, NY",4756,527,2037,333,945,267,1117,310,657,155
14000US36005011900,"Census Tract 119, Bronx, NY",3354,817,1471,573,594,180,793,207,496,175
14000US36005012101,"Census Tract 121.01, Bronx, NY",1914,283,428,111,553,133,645,135,288,121
14000US36005012102,"Census Tract 121.02, Bronx, NY",1003,220,237,109,392,137,218,76,156,111
14000US36005012300,"Census Tract 123, Bronx, NY",3063,567,775,235,969,218,1003,276,316,124
14000US36005012500,"Census Tract 125, Bronx, NY",2379,381,737,267,674,220,714,203,254,120
14000US36005012701,"Census Tract 127.01, Bronx, NY",1467,310,378,218,373,135,426,142,290,78
14000US36005012901,"Census Tract 129.01, Bronx, NY",2617,436,520,168,580,229,1018,298,499,130
14000US36005013000,"Census Tract 130, Bronx, NY",1070,420,401,395,170,61,267,65,232,71
14000US36005013100,"Census Tract 131, Bronx, NY",3205,408,748,273,851,211,1166,276,440,148
14000US36005013200,"Census Tract 132, Bronx, NY",5487,970,1104,353,1454,324,2025,684,904,188
14000US36005013300,"Census Tract 133, Bronx, NY",4093,1051,1199,458,1312,794,1033,276,549,147
14000US36005013500,"Census Tract 135, Bronx, NY",1889,427,244,187,686,219,659,250,300,96
14000US36005013800,"Census Tract 138, Bronx, NY",2278,415,492,203,465,122,798,237,523,121
14000US36005014100,"Census Tract 141, Bronx, NY",3993,561,1196,408,1088,251,1251,256,458,166
14000US36005014300,"Census Tract 143, Bronx, NY",1059,212,189,86,320,87,452,113,98,62
14000US36005014400,"Census Tract 144, Bronx, NY",3627,703,479,300,759,296,1449,447,940,385
14000US36005014500,"Census Tract 145, Bronx, NY",4236,1041,1080,394,1600,767,977,262,579,230
14000US36005014701,"Census Tract 147.01, Bronx, NY",4008,1121,1394,533,896,369,1313,459,405,161
14000US36005014702,"Census Tract 147.02, Bronx, NY",3309,844,1446,697,523,189,703,143,637,389
14000US36005014900,"Census Tract 149, Bronx, NY",2159,442,535,218,534,264,773,196,317,101
14000US36005015100,"Census Tract 151, Bronx, NY",2700,581,473,178,559,147,1174,418,494,149
14000US36005015200,"Census Tract 152, Bronx, NY",1726,243,350,138,468,148,558,120,350,94
14000US36005015300,"Census Tract 153, Bronx, NY",2639,473,657,340,732,205,886,220,364,110
14000US36005015500,"Census Tract 155, Bronx, NY",1770,360,405,132,387,153,679,163,299,114
14000US36005015700,"Census Tract 157, Bronx, NY",3280,584,1083,255,697,183,915,215,585,410
14000US36005015800,"Census Tract 158, Bronx, NY",953,199,221,104,132,58,345,98,255,67
14000US36005015900,"Census Tract 159, Bronx, NY",1544,542,435,357,378,146,385,165,346,80
14000US36005016000,"Census Tract 160, Bronx, NY",3151,554,791,298,532,190,1196,279,632,137
14000US36005016100,"Census Tract 161, Bronx, NY",2926,573,626,258,722,204,901,232,677,228
14000US36005016200,"Census Tract 162, Bronx, NY",1268,276,261,142,199,95,462,107,346,129
14000US36005016300,"Census Tract 163, Bronx, NY",0,13,0,13,0,13,0,13,0,13
14000US36005016400,"Census Tract 164, Bronx, NY",764,91,84,43,153,50,290,71,237,72
14000US36005016500,"Census Tract 165, Bronx, NY",530,116,138,53,188,60,167,50,37,21
14000US36005016600,"Census Tract 166, Bronx, NY",1684,254,239,104,587,133,659,136,199,65
14000US36005016700,"Census Tract 167, Bronx, NY",2064,348,497,200,715,167,675,143,177,89
14000US36005016900,"Census Tract 169, Bronx, NY",1089,196,217,80,442,172,304,108,126,47
14000US36005017100,"Census Tract 171, Bronx, NY",0,13,0,13,0,13,0,13,0,13
14000US36005017300,"Census Tract 173, Bronx, NY",4311,1027,1244,499,980,502,1094,378,993,227
14000US36005017500,"Census Tract 175, Bronx, NY",3694,482,1213,343,580,255,940,265,961,342
14000US36005017701,"Census Tract 177.01, Bronx, NY",2361,516,448,192,655,180,651,254,607,184
14000US36005017702,"Census Tract 177.02, Bronx, NY",3070,616,945,403,721,246,881,273,523,176
14000US36005017901,"Census Tract 179.01, Bronx, NY",2539,366,659,210,551,177,1012,243,317,101
14000US36005017902,"Census Tract 179.02, Bronx, NY",1689,309,539,180,366,175,663,277,121,75
14000US36005018101,"Census Tract 181.01, Bronx, NY",1567,281,593,210,384,219,392,140,198,118
14000US36005018102,"Census Tract 181.02, Bronx, NY",2817,693,528,199,662,252,864,250,763,530
14000US36005018301,"Census Tract 183.01, Bronx, NY",2930,317,521,159,674,211,870,177,865,201
14000US36005018302,"Census Tract 183.02, Bronx, NY",1790,429,333,125,733,414,527,104,197,111
14000US36005018400,"Census Tract 184, Bronx, NY",2681,409,619,209,544,167,1006,207,512,160
14000US36005018501,"Census Tract 185.01, Bronx, NY",1726,645,455,177,314,148,907,581,50,42
14000US36005018502,"Census Tract 185.02, Bronx, NY",4297,702,1476,555,1009,308,1362,359,450,173
14000US36005018900,"Census Tract 189, Bronx, NY",4340,603,1221,344,1552,453,1232,264,335,134
14000US36005019300,"Census Tract 193, Bronx, NY",4146,865,1090,503,1821,778,779,277,456,209
14000US36005019400,"Census Tract 194, Bronx, NY",1560,306,258,143,381,134,583,135,338,89
14000US36005019500,"Census Tract 195, Bronx, NY",4913,855,1673,410,1271,516,1383,317,586,180
14000US36005019700,"Census Tract 197, Bronx, NY",3694,818,1030,432,793,315,1314,446,557,198
14000US36005019900,"Census Tract 199, Bronx, NY",4534,646,651,296,1275,337,2075,546,533,251
14000US36005020000,"Census Tract 200, Bronx, NY",2563,359,610,189,652,190,926,180,375,132
14000US36005020100,"Census Tract 201, Bronx, NY",2403,530,830,291,623,249,648,215,302,102
14000US36005020200,"Census Tract 202, Bronx, NY",1385,274,360,90,197,83,393,93,435,220
14000US36005020400,"Census Tract 204, Bronx, NY",2025,357,536,253,551,172,499,130,439,161
14000US36005020501,"Census Tract 205.01, Bronx, NY",3742,713,768,330,1032,348,1223,326,719,160
14000US36005020502,"Census Tract 205.02, Bronx, NY",1668,386,601,254,295,94,510,144,262,75
14000US36005020601,"Census Tract 206.01, Bronx, NY",1541,375,334,125,495,219,447,135,265,70
14000US36005020900,"Census Tract 209, Bronx, NY",2865,416,685,252,749,256,1044,214,387,139
14000US36005021001,"Census Tract 210.01, Bronx, NY",5967,765,1238,424,1626,317,1979,369,1124,406
14000US36005021002,"Census Tract 210.02, Bronx, NY",5134,936,860,297,1810,713,1212,302,1252,233
14000US36005021100,"Census Tract 211, Bronx, NY",3210,655,1092,387,668,173,859,277,591,190
14000US36005021200,"Census Tract 212, Bronx, NY",3391,498,585,235,972,324,1221,245,613,167
14000US36005021301,"Census Tract 213.01, Bronx, NY",798,285,268,157,124,76,305,99,101,51
14000US36005021302,"Census Tract 213.02, Bronx, NY",3743,746,545,290,789,251,980,188,1429,669
14000US36005021501,"Census Tract 215.01, Bronx, NY",2430,488,822,201,850,382,515,187,243,104
14000US36005021502,"Census Tract 215.02, Bronx, NY",3432,398,1015,247,824,228,1253,269,340,112
14000US36005021601,"Census Tract 216.01, Bronx, NY",2482,408,864,354,685,166,622,151,311,100
14000US36005021602,"Census Tract 216.02, Bronx, NY",3984,591,747,253,1466,492,1168,178,603,165
14000US36005021700,"Census Tract 217, Bronx, NY",3017,391,727,211,846,208,1221,286,223,79
14000US36005021800,"Census Tract 218, Bronx, NY",3876,964,914,365,1230,661,1070,287,662,216
14000US36005021900,"Census Tract 219, Bronx, NY",604,185,172,86,127,87,173,67,132,77
14000US36005022000,"Census Tract 220, Bronx, NY",983,210,385,158,215,78,290,102,93,62
14000US36005022101,"Census Tract 221.01, Bronx, NY",1960,383,429,157,604,184,569,132,358,288
14000US36005022102,"Census Tract 221.02, Bronx, NY",2491,444,882,285,577,239,799,201,233,88
14000US36005022200,"Census Tract 222, Bronx, NY",1581,265,259,132,620,134,493,163,209,75
14000US36005022300,"Census Tract 223, Bronx, NY",3150,577,1042,343,655,243,951,327,502,185
14000US36005022401,"Census Tract 224.01, Bronx, NY",1745,248,309,148,407,130,657,150,372,131
14000US36005022403,"Census Tract 224.03, Bronx, NY",1837,265,428,156,679,226,420,137,310,117
14000US36005022404,"Census Tract 224.04, Bronx, NY",2799,383,531,180,982,237,1004,312,282,89
14000US36005022500,"Census Tract 225, Bronx, NY",3910,877,1167,327,1033,397,1142,371,568,195
14000US36005022701,"Census Tract 227.01, Bronx, NY",2587,352,746,206,790,243,674,169,377,93
14000US36005022702,"Census Tract 227.02, Bronx, NY",828,140,267,93,151,75,242,79,168,96
14000US36005022703,"Census Tract 227.03, Bronx, NY",939,244,251,99,370,180,174,84,144,73
14000US36005022800,"Census Tract 228, Bronx, NY",3954,574,808,223,1069,298,1338,333,739,208
14000US36005022901,"Census Tract 229.01, Bronx, NY",3148,480,906,272,581,160,1376,345,285,81
14000US36005022902,"Census Tract 229.02, Bronx, NY",1794,642,413,159,699,620,448,128,234,104
14000US36005023000,"Census Tract 230, Bronx, NY",1754,369,418,183,600,206,539,176,197,105
14000US36005023100,"Census Tract 231, Bronx, NY",929,155,274,103,172,85,303,56,180,69
14000US36005023200,"Census Tract 232, Bronx, NY",1328,207,278,86,347,95,427,132,276,84
14000US36005023301,"Census Tract 233.01, Bronx, NY",2065,329,429,176,480,180,792,180,364,147
14000US36005023302,"Census Tract 233.02, Bronx, NY",1568,266,506,186,494,142,386,120,182,94
14000US36005023501,"Census Tract 235.01, Bronx, NY",1607,457,405,205,256,204,601,267,345,216
14000US36005023502,"Census Tract 235.02, Bronx, NY",2334,479,664,174,623,349,519,187,528,132
14000US36005023600,"Census Tract 236, Bronx, NY",776,212,180,92,212,97,179,87,205,74
14000US36005023702,"Census Tract 237.02, Bronx, NY",671,242,137,83,215,125,246,102,73,47
14000US36005023703,"Census Tract 237.03, Bronx, NY",2524,719,859,301,574,197,802,430,289,104
14000US36005023704,"Census Tract 237.04, Bronx, NY",1870,469,555,314,531,161,657,277,127,58
14000US36005023800,"Census Tract 238, Bronx, NY",1506,208,472,128,413,116,474,107,147,62
14000US36005023900,"Census Tract 239, Bronx, NY",3586,1002,870,435,1014,642,1281,436,421,173
14000US36005024000,"Census Tract 240, Bronx, NY",2811,763,782,427,800,271,806,263,423,203
14000US36005024100,"Census Tract 241, Bronx, NY",3638,624,924,317,1247,504,1012,209,455,274
14000US36005024300,"Census Tract 243, Bronx, NY",2980,386,676,217,914,175,1194,270,196,107
14000US36005024400,"Census Tract 244, Bronx, NY",1645,270,349,118,551,164,490,123,255,95
14000US36005024501,"Census Tract 245.01, Bronx, NY",2417,472,689,215,621,188,643,127,464,381
14000US36005024502,"Census Tract 245.02, Bronx, NY",2196,519,625,237,774,346,584,173,213,97
14000US36005024600,"Census Tract 246, Bronx, NY",1365,275,254,107,315,111,404,91,392,125
14000US36005024700,"Census Tract 247, Bronx, NY",1138,197,232,84,227,97,444,167,235,118
14000US36005024800,"Census Tract 248, Bronx, NY",2320,404,648,255,439,156,619,171,614,158
14000US36005024900,"Census Tract 249, Bronx, NY",0,13,0,13,0,13,0,13,0,13
14000US36005025000,"Census Tract 250, Bronx, NY",1659,389,163,104,479,199,592,191,425,164
14000US36005025100,"Census Tract 251, Bronx, NY",3310,694,752,330,1022,409,917,329,619,190
14000US36005025200,"Census Tract 252, Bronx, NY",1649,218,428,127,404,120,546,102,271,77
14000US36005025300,"Census Tract 253, Bronx, NY",2759,506,765,262,984,410,635,160,375,97
14000US36005025400,"Census Tract 254, Bronx, NY",1553,202,312,93,384,101,466,130,391,70
14000US36005025500,"Census Tract 255, Bronx, NY",3770,713,1024,327,874,301,920,227,952,403
14000US36005025600,"Census Tract 256, Bronx, NY",1057,194,234,76,251,84,271,87,301,111
14000US36005025700,"Census Tract 257, Bronx, NY",1010,234,388,160,235,137,265,80,122,68
14000US36005026100,"Census Tract 261, Bronx, NY",1646,262,159,60,348,113,754,232,385,72
14000US36005026300,"Census Tract 263, Bronx, NY",4202,833,856,384,1000,236,1052,289,1294,362
14000US36005026400,"Census Tract 264, Bronx, NY",4522,855,620,378,1684,646,1355,345,863,228
14000US36005026500,"Census Tract 265, Bronx, NY",3880,760,1005,361,1078,428,1251,379,546,268
14000US36005026601,"Census Tract 266.01, Bronx, NY",2374,344,503,251,671,198,708,202,492,126
14000US36005026602,"Census Tract 266.02, Bronx, NY",3760,727,614,304,843,418,1225,546,1078,348
14000US36005026701,"Census Tract 267.01, Bronx, NY",1397,280,248,101,405,179,465,148,279,116
14000US36005026702,"Census Tract 267.02, Bronx, NY",4295,857,1154,301,1057,356,1127,324,957,589
14000US36005026900,"Census Tract 269, Bronx, NY",2627,633,568,263,529,200,1202,468,328,127
14000US36005027300,"Census Tract 273, Bronx, NY",4477,948,753,373,1491,611,1198,227,1035,317
14000US36005027401,"Census Tract 274.01, Bronx, NY",3510,471,475,179,980,280,1336,336,719,170
14000US36005027402,"Census Tract 274.02, Bronx, NY",2493,359,247,110,737,253,654,173,855,251
14000US36005027600,"Census Tract 276, Bronx, NY",34,32,21,30,0,13,6,10,7,9
14000US36005027700,"Census Tract 277, Bronx, NY",3030,506,709,251,753,340,909,233,659,193
14000US36005027900,"Census Tract 279, Bronx, NY",5658,651,980,246,1519,461,1809,375,1350,308
14000US36005028100,"Census Tract 281, Bronx, NY",3041,371,376,129,542,179,1031,178,1092,281
14000US36005028300,"Census Tract 283, Bronx, NY",1861,525,378,149,471,156,742,420,270,64
14000US36005028400,"Census Tract 284, Bronx, NY",525,222,33,41,68,88,138,88,286,215
14000US36005028500,"Census Tract 285, Bronx, NY",2873,567,674,259,670,178,1014,495,515,124
14000US36005028600,"Census Tract 286, Bronx, NY",693,173,63,83,136,59,174,57,320,156
14000US36005028700,"Census Tract 287, Bronx, NY",2317,403,549,214,405,161,975,239,388,122
14000US36005028800,"Census Tract 288, Bronx, NY",2082,420,608,220,138,72,946,272,390,149
14000US36005028900,"Census Tract 289, Bronx, NY",2813,410,364,122,823,242,869,290,757,225
14000US36005029301,"Census Tract 293.01, Bronx, NY",1519,215,56,50,171,64,499,106,793,130
14000US36005029302,"Census Tract 293.02, Bronx, NY",4327,480,572,321,641,329,1483,308,1631,320
14000US36005029500,"Census Tract 295, Bronx, NY",3510,443,648,233,791,242,1017,229,1054,270
14000US36005029600,"Census Tract 296, Bronx, NY",1303,226,294,146,244,90,463,117,302,100
14000US36005029700,"Census Tract 297, Bronx, NY",3081,330,270,99,429,90,1067,259,1315,238
14000US36005030000,"Census Tract 300, Bronx, NY",4606,655,897,297,1199,362,1707,342,803,233
14000US36005030100,"Census Tract 301, Bronx, NY",1309,186,104,53,248,100,348,74,609,146
14000US36005030201,"Census Tract 302.01, Bronx, NY",2941,620,601,433,655,238,941,263,744,174
14000US36005030202,"Census Tract 302.02, Bronx, NY",4129,623,613,289,759,269,1652,372,1105,252
14000US36005030701,"Census Tract 307.01, Bronx, NY",3863,463,384,170,928,365,1069,297,1482,273
14000US36005030900,"Census Tract 309, Bronx, NY",3771,458,746,247,390,117,663,166,1972,317
14000US36005031000,"Census Tract 310, Bronx, NY",3676,569,550,224,574,229,1055,282,1497,219
14000US36005031200,"Census Tract 312, Bronx, NY",1183,170,201,65,355,120,359,63,268,96
14000US36005031400,"Census Tract 314, Bronx, NY",1554,311,323,147,378,79,446,119,407,149
14000US36005031600,"Census Tract 316, Bronx, NY",1443,225,293,116,326,140,473,99,351,126
14000US36005031800,"Census Tract 318, Bronx, NY",1765,356,328,178,360,118,540,175,537,124
14000US36005031900,"Census Tract 319, Bronx, NY",179,218,167,218,0,13,12,28,0,13
14000US36005032300,"Census Tract 323, Bronx, NY",3916,523,123,112,556,237,1192,252,2045,518
14000US36005032400,"Census Tract 324, Bronx, NY",2098,432,385,165,394,183,1078,328,241,110
14000US36005032600,"Census Tract 326, Bronx, NY",2502,492,476,167,690,409,880,183,456,126
14000US36005032800,"Census Tract 328, Bronx, NY",2365,344,555,185,527,174,757,219,526,137
14000US36005033000,"Census Tract 330, Bronx, NY",3379,440,770,267,1199,375,906,253,504,189
14000US36005033201,"Census Tract 332.01, Bronx, NY",3166,551,479,158,620,217,1326,464,741,286
14000US36005033202,"Census Tract 332.02, Bronx, NY",2763,462,321,138,429,123,904,168,1109,360
14000US36005033400,"Census Tract 334, Bronx, NY",14,17,2,5,0,13,7,8,5,8
14000US36005033500,"Census Tract 335, Bronx, NY",1652,231,559,168,336,121,390,85,367,84
14000US36005033601,"Census Tract 336.01, Bronx, NY",3068,443,629,281,1029,337,943,272,467,250
14000US36005033602,"Census Tract 336.02, Bronx, NY",1042,191,228,116,256,214,335,159,223,93
14000US36005033700,"Census Tract 337, Bronx, NY",1911,258,195,69,340,154,635,113,741,204
14000US36005033801,"Census Tract 338.01, Bronx, NY",1242,381,377,291,463,148,182,74,220,144
14000US36005033802,"Census Tract 338.02, Bronx, NY",896,174,270,121,273,112,265,85,88,9
14000US36005034000,"Census Tract 340, Bronx, NY",2943,462,615,239,876,203,811,146,641,232
14000US36005034200,"Census Tract 342, Bronx, NY",998,209,215,94,297,162,271,65,215,85
14000US36005034300,"Census Tract 343, Bronx, NY",1289,187,276,101,236,65,513,139,264,115
14000US36005034400,"Census Tract 344, Bronx, NY",1228,156,238,81,245,92,425,114,320,112
14000US36005034500,"Census Tract 345, Bronx, NY",2505,302,256,125,565,163,953,205,731,135
14000US36005034800,"Census Tract 348, Bronx, NY",4070,540,933,319,1169,535,1192,265,776,241
14000US36005035000,"Census Tract 350, Bronx, NY",1366,238,255,111,347,87,598,172,166,48
14000US36005035100,"Census Tract 351, Bronx, NY",2930,412,1276,350,754,196,533,104,367,118
14000US36005035600,"Census Tract 356, Bronx, NY",1601,290,490,178,302,122,557,184,252,96
14000US36005035800,"Census Tract 358, Bronx, NY",5852,903,1578,436,1187,336,1793,487,1294,435
14000US36005035900,"Census Tract 359, Bronx, NY",1299,215,244,90,464,125,437,99,154,60
14000US36005036000,"Census Tract 360, Bronx, NY",2124,382,209,144,595,155,662,209,658,168
14000US36005036100,"Census Tract 361, Bronx, NY",3634,583,984,383,782,244,930,232,938,236
14000US36005036300,"Census Tract 363, Bronx, NY",4516,633,1447,367,1059,334,1428,378,582,261
14000US36005036400,"Census Tract 364, Bronx, NY",1875,289,406,161,453,117,589,131,427,108
14000US36005036501,"Census Tract 365.01, Bronx, NY",2667,346,649,197,757,205,888,219,373,135
14000US36005036502,"Census Tract 365.02, Bronx, NY",1377,370,460,216,454,139,346,103,117,56
14000US36005036700,"Census Tract 367, Bronx, NY",1372,349,458,198,369,116,471,170,74,42
14000US36005036800,"Census Tract 368, Bronx, NY",1508,395,330,142,457,220,363,123,358,217
14000US36005036901,"Census Tract 369.01, Bronx, NY",1304,173,354,114,346,125,413,110,191,71
14000US36005036902,"Census Tract 369.02, Bronx, NY",1274,186,424,115,300,89,401,100,149,78
14000US36005037000,"Census Tract 370, Bronx, NY",1518,285,357,175,435,119,480,115,246,57
14000US36005037100,"Census Tract 371, Bronx, NY",2656,452,714,300,552,133,698,203,692,225
14000US36005037200,"Census Tract 372, Bronx, NY",1274,269,187,107,395,150,468,136,224,76
14000US36005037300,"Census Tract 373, Bronx, NY",3514,771,1265,652,827,240,969,260,453,154
14000US36005037400,"Census Tract 374, Bronx, NY",2398,529,907,384,307,120,803,242,381,108
14000US36005037504,"Census Tract 375.04, Bronx, NY",2256,337,441,177,753,220,574,160,488,225
14000US36005037600,"Census Tract 376, Bronx, NY",1277,266,261,111,300,110,439,161,277,101
14000US36005037800,"Census Tract 378, Bronx, NY",1775,326,599,209,266,134,625,166,285,135
14000US36005037900,"Census Tract 379, Bronx, NY",3004,307,1012,252,747,167,808,140,437,89
14000US36005038000,"Census Tract 380, Bronx, NY",3062,382,654,207,827,220,951,174,630,197
14000US36005038100,"Census Tract 381, Bronx, NY",3444,578,821,267,799,278,1236,308,588,416
14000US36005038200,"Census Tract 382, Bronx, NY",1953,391,349,162,426,91,679,147,499,182
14000US36005038301,"Census Tract 383.01, Bronx, NY",2557,365,1045,276,575,159,781,146,156,63
14000US36005038303,"Census Tract 383.03, Bronx, NY",2187,629,776,422,444,182,571,145,396,163
14000US36005038304,"Census Tract 383.04, Bronx, NY",1111,286,378,153,286,122,344,253,103,75
14000US36005038500,"Census Tract 385, Bronx, NY",2350,330,572,168,653,168,902,238,223,94
14000US36005038600,"Census Tract 386, Bronx, NY",5588,1062,1441,627,1155,458,1339,497,1653,673
14000US36005038700,"Census Tract 387, Bronx, NY",1536,277,689,231,332,113,347,118,168,70
14000US36005038800,"Census Tract 388, Bronx, NY",1638,282,292,115,380,135,584,175,382,96
14000US36005038900,"Census Tract 389, Bronx, NY",2959,501,1352,350,614,225,815,310,178,98
14000US36005039000,"Census Tract 390, Bronx, NY",1956,429,653,260,303,135,762,235,238,131
14000US36005039100,"Census Tract 391, Bronx, NY",3696,877,1120,443,560,246,877,390,1139,378
14000US36005039200,"Census Tract 392, Bronx, NY",1011,251,178,80,344,166,304,99,185,81
